#PIXEL  #BOARD  #CHANNEL  #MACROCELL L3  #ALL MACROCELLS  #ATTENUATION
44    0.560000    3    
45    0.360000    0    
46    0.360000    0    
47    0.360000    0    
48    0.560000    10    
49    0.360000    0    
50    0.360000    0    
51    0.360000    0    
52    0.560000    0    
53    0.360000    0    
54    0.560000    0    
55    0.360000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.390000    0    
2    0.390000    0    
3    0.390000    0    
4    0.390000    0    
5    0.590000    0    
6    0.790000    0    
7    0.390000    0    
8    0.390000    0    
9    0.390000    0    
10    0.590000    0    
11    0.390000    0    
12    0.390000    0    
13    0.590000    1    
14    0.390000    0    
15    0.390000    0    
16    0.590000    0    
17    0.590000    1    
18    0.390000    0    
19    0.390000    0    
20    0.590000    0    
21    0.590000    0    
22    0.390000    0    
23    0.390000    0    
24    0.390000    0    
25    0.390000    0    
26    0.590000    0    
27    0.390000    0    
28    0.390000    0    
29    0.590000    0    
30    0.390000    0    
31    0.390000    0    
32    0.390000    0    
33    0.790000    0    
34    0.590000    1    
35    0.390000    0    
36    0.390000    0    
37    0.390000    0    
38    0.590000    1    
39    0.390000    0    
40    0.590000    3    
41    0.390000    0    
42    0.390000    0    
43    0.390000    0    
44    0.590000    0    
45    0.390000    0    
46    0.390000    0    
47    0.390000    0    
48    0.590000    1    
49    0.390000    0    
50    0.390000    0    
51    0.390000    0    
52    0.590000    0    
53    0.390000    0    
54    0.590000    0    
55    0.390000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.420000    0    
2    0.420000    0    
3    0.420000    0    
4    0.420000    0    
5    0.620000    0    
6    0.820000    0    
7    0.420000    0    
8    0.420000    0    
9    0.420000    0    
10    0.620000    0    
11    0.420000    0    
12    0.420000    0    
13    0.620000    0    
14    0.420000    0    
15    0.420000    0    
16    0.620000    0    
17    0.620000    0    
18    0.420000    0    
19    0.420000    0    
20    0.620000    1    
21    0.620000    0    
22    0.420000    0    
23    0.420000    0    
24    0.420000    0    
25    0.420000    0    
26    0.620000    0    
27    0.420000    0    
28    0.420000    0    
29    0.620000    0    
30    0.420000    0    
31    0.420000    0    
32    0.420000    0    
33    0.820000    0    
34    0.620000    0    
35    0.420000    0    
36    0.420000    0    
37    0.420000    0    
38    0.620000    0    
39    0.420000    0    
40    0.620000    1    
41    0.420000    0    
42    0.420000    0    
43    0.420000    0    
44    0.620000    1    
45    0.420000    0    
46    0.420000    0    
47    0.420000    0    
48    0.620000    1    
49    0.420000    0    
50    0.420000    0    
51    0.420000    0    
52    0.620000    0    
53    0.420000    0    
54    0.620000    0    
55    0.420000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.450000    0    
2    0.450000    0    
3    0.450000    0    
4    0.450000    0    
5    0.650000    0    
6    0.850000    0    
7    0.450000    0    
8    0.450000    0    
9    0.450000    0    
10    0.650000    0    
11    0.450000    0    
12    0.450000    0    
13    0.650000    0    
14    0.450000    0    
15    0.450000    0    
16    0.650000    0    
17    0.650000    0    
18    0.450000    0    
19    0.450000    0    
20    0.650000    0    
21    0.650000    0    
22    0.450000    0    
23    0.450000    0    
24    0.450000    0    
25    0.450000    0    
26    0.650000    0    
27    0.450000    0    
28    0.450000    0    
29    0.650000    1    
30    0.450000    0    
31    0.450000    0    
32    0.450000    0    
33    0.850000    0    
34    0.650000    0    
35    0.450000    0    
36    0.450000    0    
37    0.450000    0    
38    0.650000    0    
39    0.450000    0    
40    0.650000    0    
41    0.450000    0    
42    0.450000    0    
43    0.450000    0    
44    0.650000    0    
45    0.450000    0    
46    0.450000    0    
47    0.450000    0    
48    0.650000    0    
49    0.450000    0    
50    0.450000    0    
51    0.450000    0    
52    0.650000    0    
53    0.450000    0    
54    0.650000    0    
55    0.450000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.480000    0    
2    0.480000    0    
3    0.480000    0    
4    0.480000    0    
5    0.680000    0    
6    0.880000    1    
7    0.480000    0    
8    0.480000    0    
9    0.480000    0    
10    0.680000    0    
11    0.480000    0    
12    0.480000    0    
13    0.680000    0    
14    0.480000    0    
15    0.480000    0    
16    0.680000    0    
17    0.680000    0    
18    0.480000    0    
19    0.480000    0    
20    0.680000    0    
21    0.680000    0    
22    0.480000    0    
23    0.480000    0    
24    0.480000    0    
25    0.480000    0    
26    0.680000    0    
27    0.480000    0    
28    0.480000    0    
29    0.680000    0    
30    0.480000    0    
31    0.480000    0    
32    0.480000    0    
33    0.880000    0    
34    0.680000    0    
35    0.480000    0    
36    0.480000    0    
37    0.480000    0    
38    0.680000    0    
39    0.480000    0    
40    0.680000    0    
41    0.480000    0    
42    0.480000    0    
43    0.480000    0    
44    0.680000    0    
45    0.480000    0    
46    0.480000    0    
47    0.480000    0    
48    0.680000    0    
49    0.480000    0    
50    0.480000    0    
51    0.480000    0    
52    0.680000    0    
53    0.480000    0    
54    0.680000    0    
55    0.480000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.510000    0    
2    0.510000    0    
3    0.510000    0    
4    0.510000    0    
5    0.710000    0    
6    0.910000    0    
7    0.510000    0    
8    0.510000    0    
9    0.510000    0    
10    0.710000    0    
11    0.510000    0    
12    0.510000    0    
13    0.710000    0    
14    0.510000    0    
15    0.510000    0    
16    0.710000    0    
17    0.710000    0    
18    0.510000    0    
19    0.510000    0    
20    0.710000    0    
21    0.710000    0    
22    0.510000    0    
23    0.510000    0    
24    0.510000    0    
25    0.510000    0    
26    0.710000    0    
27    0.510000    0    
28    0.510000    0    
29    0.710000    0    
30    0.510000    0    
31    0.510000    0    
32    0.510000    0    
33    0.910000    0    
34    0.710000    0    
35    0.510000    0    
36    0.510000    0    
37    0.510000    0    
38    0.710000    0    
39    0.510000    0    
40    0.710000    0    
41    0.510000    0    
42    0.510000    0    
43    0.510000    0    
44    0.710000    0    
45    0.510000    0    
46    0.510000    0    
47    0.510000    0    
48    0.710000    0    
49    0.510000    0    
50    0.510000    0    
51    0.510000    0    
52    0.710000    0    
53    0.510000    0    
54    0.710000    0    
55    0.510000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.540000    0    
2    0.540000    0    
3    0.540000    0    
4    0.540000    0    
5    0.740000    0    
6    0.940000    0    
7    0.540000    0    
8    0.540000    0    
9    0.540000    0    
10    0.740000    0    
11    0.540000    0    
12    0.540000    0    
13    0.740000    0    
14    0.540000    0    
15    0.540000    0    
16    0.740000    0    
17    0.740000    0    
18    0.540000    0    
19    0.540000    0    
20    0.740000    0    
21    0.740000    0    
22    0.540000    0    
23    0.540000    0    
24    0.540000    0    
25    0.540000    0    
26    0.740000    0    
27    0.540000    0    
28    0.540000    0    
29    0.740000    0    
30    0.540000    0    
31    0.540000    0    
32    0.540000    0    
33    0.940000    0    
34    0.740000    0    
35    0.540000    0    
36    0.540000    0    
37    0.540000    0    
38    0.740000    0    
39    0.540000    0    
40    0.740000    0    
41    0.540000    0    
42    0.540000    0    
43    0.540000    0    
44    0.740000    0    
45    0.540000    0    
46    0.540000    0    
47    0.540000    0    
48    0.740000    0    
49    0.540000    0    
50    0.540000    0    
51    0.540000    0    
52    0.740000    0    
53    0.540000    0    
54    0.740000    0    
55    0.540000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.570000    0    
2    0.570000    0    
3    0.570000    0    
4    0.570000    0    
5    0.770000    0    
6    0.970000    0    
7    0.570000    0    
8    0.570000    0    
9    0.570000    0    
10    0.770000    0    
11    0.570000    0    
12    0.570000    0    
13    0.770000    0    
14    0.570000    0    
15    0.570000    0    
16    0.770000    0    
17    0.770000    0    
18    0.570000    0    
19    0.570000    0    
20    0.770000    0    
21    0.770000    0    
22    0.570000    0    
23    0.570000    0    
24    0.570000    0    
25    0.570000    0    
26    0.770000    0    
27    0.570000    0    
28    0.570000    0    
29    0.770000    0    
30    0.570000    0    
31    0.570000    0    
32    0.570000    0    
33    0.970000    0    
34    0.770000    0    
35    0.570000    0    
36    0.570000    0    
37    0.570000    0    
38    0.770000    0    
39    0.570000    0    
40    0.770000    0    
41    0.570000    0    
42    0.570000    0    
43    0.570000    0    
44    0.770000    0    
45    0.570000    0    
46    0.570000    0    
47    0.570000    0    
48    0.770000    0    
49    0.570000    0    
50    0.570000    0    
51    0.570000    0    
52    0.770000    0    
53    0.570000    0    
54    0.770000    0    
55    0.570000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.600000    0    
2    0.600000    0    
3    0.600000    0    
4    0.600000    0    
5    0.800000    0    
6    1.000000    0    
7    0.600000    0    
8    0.600000    0    
9    0.600000    0    
10    0.800000    0    
11    0.600000    0    
12    0.600000    0    
13    0.800000    0    
14    0.600000    0    
15    0.600000    0    
16    0.800000    0    
17    0.800000    0    
18    0.600000    0    
19    0.600000    0    
20    0.800000    0    
21    0.800000    0    
22    0.600000    0    
23    0.600000    0    
24    0.600000    0    
25    0.600000    0    
26    0.800000    0    
27    0.600000    0    
28    0.600000    0    
29    0.800000    0    
30    0.600000    0    
31    0.600000    0    
32    0.600000    0    
33    1.000000    0    
34    0.800000    0    
35    0.600000    0    
36    0.600000    0    
37    0.600000    0    
38    0.800000    0    
39    0.600000    0    
40    0.800000    0    
41    0.600000    0    
42    0.600000    0    
43    0.600000    0    
44    0.800000    0    
45    0.600000    0    
46    0.600000    0    
47    0.600000    0    
48    0.800000    0    
49    0.600000    0    
50    0.600000    0    
51    0.600000    0    
52    0.800000    0    
53    0.600000    0    
54    0.800000    0    
55    0.600000    0    

#Macrocel    #Threshold    #Rate[Hz]
1    0.630000    0    
2    0.630000    0    
3    0.630000    0    
4    0.630000    0    
5    0.830000    0    
6    1.030000    0    
7    0.630000    0    
8    0.630000    0    
9    0.630000    0    
10    0.830000    0    
11    0.630000    0    
12    0.630000    0    
13    0.830000    0    
14    0.630000    0    
15    0.630000    0    
16    0.830000    0    
17    0.830000    0    
18    0.630000    0    
19    0.630000    0    
20    0.830000    0    
21    0.830000    0    
22    0.630000    0    
23    0.630000    0    
24    0.630000    0    
25    0.630000    0    
26    0.830000    0    
27    0.630000    0    
28    0.630000    0    
29    0.830000    0    
30    0.630000    0    
31    0.630000    0    
32    0.630000    0    
33    1.030000    0    
34    0.830000    0    
35    0.630000    0    
36    0.630000    0    
37    0.630000    0    
38    0.830000    0    
39    0.630000    0    
40    0.830000    0    
41    0.630000    0    
42    0.630000    0    
43    0.630000    0    
44    0.830000    0    
45    0.630000    0    
46    0.630000    0    
47    0.630000    0    
48    0.830000    0    
49    0.630000    0    
50    0.630000    0    
51    0.630000    0    
52    0.830000    0    
53    0.630000    0    
54    0.830000    0    
55    0.630000    0    

#Macrocel     #Threshold 
1    0.030000 
2    0.030000 
3    0.030000 
4    0.030000 
5    0.230000 
6    0.430000 
7    0.030000 
8    0.030000 
9    0.030000 
10    0.230000 
11    0.030000 
12    0.030000 
13    0.230000 
14    0.030000 
15    0.030000 
16    0.230000 
17    0.230000 
18    0.030000 
19    0.030000 
20    0.230000 
21    0.230000 
22    0.030000 
23    0.030000 
24    0.030000 
25    0.030000 
26    0.230000 
27    0.030000 
28    0.030000 
