#Macrocell     #Threshold [V]
45          0.066834
46          0.066834
47          0.066834
48          0.066834
49          0.066834
50          0.066834
51          0.066834
52          0.066834
53          0.066834
54          0.066834
55          0.066834
#Macrocell     #Rates [Hz]
1          2549.000000
2          2549.000000
3          839.000000
4          10811.000000
5          2646.000000
6          5402.000000
7          1363.000000
8          8075.000000
9          1205.000000
10          15002.000000
11          2607.000000
12          1392.000000
13          1791.000000
14          2201.000000
15          6943.000000
16          1078.000000
17          1386.000000
18          4706.000000
19          2509.000000
20          14622.000000
21          4229.000000
22          502.000000
23          746.000000
24          10610.000000
25          2194.000000
26          4789.000000
27          7900.000000
28          7175.000000
29          4244.000000
30          3698.000000
31          927.000000
32          10667.000000
33          5786.000000
34          6800.000000
35          1047.000000
36          4838.000000
37          11655.000000
38          1591.000000
39          5569.000000
40          173.000000
41          11321.000000
42          837.000000
43          4575.000000
44          3909.000000
45          2588.000000
46          136.000000
47          2375.000000
48          3837.000000
49          1430.000000
50          8057.000000
51          3645.000000
52          1045.000000
53          1098.000000
54          2027.000000
55          301.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.079433
2          0.079433
3          0.079433
4          0.079433
5          0.079433
6          0.079433
7          0.079433
8          0.079433
9          0.079433
10          0.079433
11          0.079433
12          0.079433
13          0.079433
14          0.079433
15          0.079433
16          0.079433
17          0.079433
18          0.079433
19          0.079433
20          0.079433
21          0.079433
22          0.079433
23          0.079433
24          0.079433
25          0.079433
26          0.079433
27          0.079433
28          0.079433
29          0.079433
30          0.079433
31          0.079433
32          0.079433
33          0.079433
34          0.079433
35          0.079433
36          0.079433
37          0.079433
38          0.079433
39          0.079433
40          0.079433
41          0.079433
42          0.079433
43          0.079433
44          0.079433
45          0.079433
46          0.079433
47          0.079433
48          0.079433
49          0.079433
50          0.079433
51          0.079433
52          0.079433
53          0.079433
54          0.079433
55          0.079433
#Macrocell     #Rates [Hz]
1          2678.000000
2          2678.000000
3          430.000000
4          10883.000000
5          3080.000000
6          5384.000000
7          1290.000000
8          7847.000000
9          535.000000
10          15843.000000
11          1929.000000
12          716.000000
13          1046.000000
14          1161.000000
15          6422.000000
16          361.000000
17          996.000000
18          3228.000000
19          2369.000000
20          14526.000000
21          4005.000000
22          117.000000
23          339.000000
24          9142.000000
25          1385.000000
26          3063.000000
27          7036.000000
28          5208.000000
29          3302.000000
30          3236.000000
31          281.000000
32          10211.000000
33          5334.000000
34          6863.000000
35          395.000000
36          4241.000000
37          10272.000000
38          1250.000000
39          4882.000000
40          53.000000
41          10366.000000
42          382.000000
43          4775.000000
44          2869.000000
45          2242.000000
46          34.000000
47          2349.000000
48          2446.000000
49          630.000000
50          7875.000000
51          4040.000000
52          499.000000
53          849.000000
54          1788.000000
55          56.000000
%56          0.000000
#Macrocell     #Rates [Hz]
1          3444.000000
2          3444.000000
3          536.000000
4          13663.000000
5          3922.000000
6          6724.000000
7          1656.000000
8          9930.000000
9          688.000000
10          19889.000000
11          2494.000000
12          882.000000
13          1366.000000
14          1552.000000
15          8215.000000
16          471.000000
17          1264.000000
18          4153.000000
19          3013.000000
20          18174.000000
21          5174.000000
22          138.000000
23          404.000000
24          11560.000000
25          1864.000000
26          3809.000000
27          8756.000000
28          6515.000000
29          3972.000000
30          4082.000000
31          318.000000
32          12692.000000
33          6816.000000
34          8521.000000
35          463.000000
36          5349.000000
37          13023.000000
38          1500.000000
39          6153.000000
40          49.000000
41          13059.000000
42          420.000000
43          6084.000000
44          3630.000000
45          2778.000000
46          37.000000
47          2969.000000
48          3146.000000
49          810.000000
50          9800.000000
51          5198.000000
52          624.000000
53          1150.000000
54          2276.000000
55          68.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.094406
2          0.094406
3          0.094406
4          0.094406
5          0.094406
6          0.094406
7          0.094406
8          0.094406
9          0.094406
10          0.094406
11          0.094406
12          0.094406
13          0.094406
14          0.094406
15          0.094406
16          0.094406
17          0.094406
18          0.094406
19          0.094406
20          0.094406
21          0.094406
22          0.094406
23          0.094406
24          0.094406
25          0.094406
26          0.094406
27          0.094406
28          0.094406
29          0.094406
30          0.094406
31          0.094406
32          0.094406
33          0.094406
34          0.094406
35          0.094406
36          0.094406
37          0.094406
38          0.094406
39          0.094406
40          0.094406
41          0.094406
42          0.094406
43          0.094406
44          0.094406
45          0.094406
46          0.094406
47          0.094406
48          0.094406
49          0.094406
50          0.094406
51          0.094406
52          0.094406
53          0.094406
54          0.094406
55          0.094406
#Macrocell     #Rates [Hz]
1          1567.000000
2          1567.000000
3          80.000000
4          7316.000000
5          2582.000000
6          3372.000000
7          449.000000
8          4791.000000
9          53.000000
10          10201.000000
11          666.000000
12          58.000000
13          252.000000
14          194.000000
15          3825.000000
16          42.000000
17          366.000000
18          1261.000000
19          1462.000000
20          9875.000000
21          2510.000000
22          7.000000
23          67.000000
24          3865.000000
25          429.000000
26          1081.000000
27          2939.000000
28          2530.000000
29          1383.000000
30          2327.000000
31          22.000000
32          4667.000000
33          2458.000000
34          4564.000000
35          53.000000
36          2075.000000
37          5518.000000
38          537.000000
39          2361.000000
40          1.000000
41          6136.000000
42          59.000000
43          3016.000000
44          1090.000000
45          1027.000000
46          2.000000
47          1653.000000
48          655.000000
49          73.000000
50          5164.000000
51          3370.000000
52          72.000000
53          495.000000
54          1199.000000
55          1.000000
%56          0.000000
#Macrocell     #Threshold [V]
1          0.112202
2          0.112202
3          0.112202
4          0.112202
5          0.112202
6          0.112202
7          0.112202
8          0.112202
9          0.112202
10          0.112202
11          0.112202
12          0.112202
13          0.112202
14          0.112202
15          0.112202
